Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2
United States,Male,54,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,108000,USD,Other,Poorly,Scala,Yes,51-75% of projects,8,8
Portugal,Male,23,Employed full-time,Academic,Master's degree,Electrical Engineering,12000,EUR,Researcher,Fine,Python,Yes,76-99% of projects,9,9
Brazil,Male,52,Employed full-time,Government,Bachelor's degree,Computer Science,320000,BRL,Programmer,Fine,Python,No,Less than 10% of projects,10 - Highly Satisfied,10
India,Male,29,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,7.00E+05,INR,Data Analyst,Perfectly,R,Sort of (Explain more),100% of projects,2,2
United States,Male,33,Employed full-time,Pharmaceutical,Doctoral degree,Other,60000,USD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,1 - Highly Dissatisfied,1
United States,Male,31,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Engineering (non-computer focused),136500,USD,Business Analyst,Poorly,SQL,Sort of (Explain more),76-99% of projects,2,2
Ukraine,Male,26,Employed full-time,Non-profit,Master's degree,A social science,25000,USD,Researcher,Fine,R,Yes,76-99% of projects,4,4
Russia,Female,26,Employed full-time,Technology,Doctoral degree,Other,110000,RUB,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,9,9
Other,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,36000,EUR,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,7,7
Russia,Male,26,Employed full-time,Internet-based,Some college/university study without earning a bachelor's degree,Computer Science,1620000,RUB,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
United States,Male,32,Employed full-time,Other,Doctoral degree,Electrical Engineering,135000,USD,Machine Learning Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,7,7
United States,Male,38,Employed full-time,Technology,Master's degree,Mathematics or statistics,2.00E+05,USD,Other,Perfectly,Python,No,76-99% of projects,10 - Highly Satisfied,10
India,Male,27,Employed full-time,Government,Master's degree,Mathematics or statistics,240000,INR,Statistician,Perfectly,R,Sort of (Explain more),51-75% of projects,7,7
Brazil,Male,31,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,120000,BRL,Software Developer/Software Engineer,Perfectly,Python,No,10-25% of projects,3,3
United States,Male,24,Employed full-time,Government,Bachelor's degree,Engineering (non-computer focused),62000,USD,Engineer,Fine,R,Yes,76-99% of projects,7,7
United States,Male,31,Employed full-time,Manufacturing,I prefer not to answer,Mathematics or statistics,60000,USD,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8,8
Brazil,Male,30,Employed full-time,Non-profit,Bachelor's degree,I never declared a major,1.00E+05,BRL,Software Developer/Software Engineer,Fine,Python,Yes,100% of projects,10 - Highly Satisfied,10
Canada,Male,35,Employed full-time,Government,Master's degree,Physics,1.00E+05,CAD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,9,9
Brazil,Male,26,Employed full-time,Government,Bachelor's degree,Other,6700,BRL,Other,Perfectly,Python,No,100% of projects,3,3
Mexico,Male,26,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,18000,MXN,Computer Scientist,Fine,Scala,Yes,51-75% of projects,10 - Highly Satisfied,10
Spain,Male,24,Employed full-time,Financial,Bachelor's degree,Computer Science,20000,EUR,Data Analyst,Perfectly,Python,Yes,76-99% of projects,6,6
Poland,Male,42,Employed full-time,Pharmaceutical,Master's degree,Physics,80000,PLN,Data Analyst,Fine,R,Yes,26-50% of projects,6,6
India,Male,26,Employed full-time,Internet-based,Master's degree,Engineering (non-computer focused),450000,INR,Business Analyst,Poorly,Python,Sort of (Explain more),10-25% of projects,6,6
Poland,Male,25,Employed full-time,Financial,Master's degree,Mathematics or statistics,3650,PLN,Data Analyst,Fine,R,No,51-75% of projects,7,7
Brazil,Female,34,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",4500,BRL,Programmer,Fine,Python,Yes,Less than 10% of projects,7,7
United States,Male,42,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),140000,USD,Statistician,Fine,R,Yes,76-99% of projects,7,7
Australia,Male,39,Employed full-time,Financial,Bachelor's degree,Computer Science,2.00E+05,AUD,Other,Fine,Python,No,51-75% of projects,4,4
United States,Male,56,Employed full-time,Technology,Master's degree,Mathematics or statistics,3.00E+05,USD,Statistician,Fine,Python,Yes,100% of projects,8,8
Netherlands,A different identity,49,Employed full-time,Other,Master's degree,Computer Science,80000,EUR,Business Analyst,Poorly,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
United States,Male,33,Employed full-time,Mix of fields,Bachelor's degree,Psychology,121000,USD,Data Analyst,Poorly,SQL,No,76-99% of projects,7,7
India,Male,35,Employed full-time,Technology,Master's degree,Computer Science,9.00E+05,INR,Business Analyst,Fine,R,Sort of (Explain more),10-25% of projects,7,7
United States,Female,27,Employed full-time,Manufacturing,Master's degree,Mathematics or statistics,71000,USD,Data Analyst,Fine,R,Yes,100% of projects,10 - Highly Satisfied,10
United States,Male,31,Employed full-time,Government,Doctoral degree,Electrical Engineering,106000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,8,8
United States,Female,31,Employed full-time,Non-profit,Master's degree,A health science,74000,USD,Data Analyst,Perfectly,R,No,100% of projects,7,7
India,Male,22,Employed full-time,CRM/Marketing,Bachelor's degree,Engineering (non-computer focused),475000,INR,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,10 - Highly Satisfied,10
Brazil,Male,34,Employed full-time,Telecommunications,Master's degree,Computer Science,1.00E+05,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,7,7
United States,Female,26,Employed full-time,Academic,Master's degree,Mathematics or statistics,55000,USD,Statistician,Perfectly,R,No,76-99% of projects,7,7
Spain,Male,38,Employed full-time,Technology,Bachelor's degree,Computer Science,33000,EUR,Software Developer/Software Engineer,Fine,Python,No,76-99% of projects,8,8
Poland,Male,50,Employed full-time,Academic,Doctoral degree,Computer Science,90000,PLN,Scientist/Researcher,Poorly,R,Yes,10-25% of projects,8,8
United States,Male,24,Employed full-time,Internet-based,Master's degree,Computer Science,130000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,6,6
Brazil,Male,35,Employed full-time,Academic,Doctoral degree,Computer Science,48000,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,5,5
Brazil,Male,40,Employed full-time,Insurance,Bachelor's degree,"Information technology, networking, or system administration",150,BRL,Other,Fine,Scala,No,76-99% of projects,8,8
United States,Male,30,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,220000,USD,Other,Perfectly,SQL,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
United Kingdom,Female,27,Employed full-time,Pharmaceutical,Master's degree,Physics,29000,GBP,Statistician,Poorly,Python,Sort of (Explain more),10-25% of projects,7,7
People 's Republic of China,Female,24,Employed full-time,Academic,Bachelor's degree,Mathematics or statistics,90000,CNY,Other,Fine,Python,Sort of (Explain more),76-99% of projects,6,6
Belgium,Male,24,Employed full-time,Academic,Master's degree,Computer Science,25000,EUR,Researcher,Poorly,Python,Yes,100% of projects,4,4
United States,Male,35,Employed full-time,Government,Master's degree,Psychology,75000,USD,Statistician,Poorly,R,Yes,51-75% of projects,8,8
Ireland,Male,34,Employed full-time,Internet-based,Master's degree,A humanities discipline,51500,EUR,Business Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,8,8
United States,Male,23,Employed full-time,Other,Bachelor's degree,Computer Science,130000,USD,Other,Fine,Python,Sort of (Explain more),26-50% of projects,10 - Highly Satisfied,10
Singapore,Male,29,Employed full-time,Internet-based,Bachelor's degree,Management information systems,75000,SGD,Data Analyst,Fine,Python,No,51-75% of projects,10 - Highly Satisfied,10
United States,Male,55,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,A social science,150000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,Less than 10% of projects,7,7
Canada,Male,31,Employed full-time,Technology,Doctoral degree,Computer Science,75000,CAD,Machine Learning Engineer,Fine,Python,Yes,None,9,9
Germany,Male,41,Employed full-time,Technology,Doctoral degree,Physics,85000,EUR,Machine Learning Engineer,Fine,Python,Yes,100% of projects,8,8
United States,Male,33,Employed full-time,Retail,Master's degree,A humanities discipline,108000,USD,Data Miner,Poorly,R,Sort of (Explain more),76-99% of projects,5,5
United States,Female,26,Employed full-time,Other,Bachelor's degree,Computer Science,65000,USD,Software Developer/Software Engineer,Poorly,R,No,76-99% of projects,7,7
United States,Female,30,Employed full-time,Non-profit,Master's degree,A social science,78000,USD,Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
Russia,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,2289008,RUB,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),None,7,7
United States,Male,35,Employed full-time,Other,Master's degree,Mathematics or statistics,72000,USD,Statistician,Fine,R,Yes,10-25% of projects,7,7
United Kingdom,Male,26,Employed full-time,Financial,Master's degree,Physics,45000,GBP,Other,Perfectly,Python,No,76-99% of projects,7,7
United States,Male,29,Employed full-time,Manufacturing,Bachelor's degree,A humanities discipline,55000,USD,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,5,5
United States,Male,69,Employed full-time,Academic,Doctoral degree,Physics,2.00E+05,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7
Switzerland,Male,29,Employed full-time,Academic,Master's degree,Physics,52000,CHF,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,8,8
Other,Male,45,Employed full-time,Manufacturing,Some college/university study without earning a bachelor's degree,Computer Science,65000,USD,Engineer,Fine,R,Sort of (Explain more),76-99% of projects,7,7
Germany,Male,50,Employed full-time,Technology,Master's degree,Computer Science,80000,EUR,Other,Fine,Python,No,76-99% of projects,4,4
United States,Male,31,Employed full-time,Government,Doctoral degree,A social science,90000,USD,Scientist/Researcher,Fine,R,No,51-75% of projects,8,8
Australia,Male,32,Employed full-time,Technology,Doctoral degree,Biology,1.00E+05,AUD,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,8,8
Netherlands,Male,48,Employed part-time,Academic,Doctoral degree,Electrical Engineering,55000,EUR,Scientist/Researcher,Fine,R,Yes,Less than 10% of projects,8,8
United States,Male,55,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,2.00E+05,USD,Statistician,Fine,R,Yes,100% of projects,6,6
Hong Kong,Male,38,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Management information systems,9.00E+05,HKD,Other,Perfectly,Python,Sort of (Explain more),26-50% of projects,6,6
United States,Female,35,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,58000,USD,Data Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,3,3
Australia,Male,38,Employed full-time,Government,Master's degree,Electrical Engineering,120000,AUD,Data Analyst,Fine,Python,No,26-50% of projects,10 - Highly Satisfied,10
Indonesia,Male,27,Employed part-time,Telecommunications,Bachelor's degree,Electrical Engineering,2.00E+07,IDR,Researcher,Fine,Python,No,76-99% of projects,9,9
United States,Male,51,Employed full-time,Non-profit,Bachelor's degree,Engineering (non-computer focused),95000,USD,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8,8
Canada,Male,50,Employed full-time,Technology,Bachelor's degree,Computer Science,75000,CAD,Programmer,Fine,Python,No,26-50% of projects,8,8
People 's Republic of China,Male,30,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Computer Science,20,CNY,Engineer,Fine,Python,Yes,Less than 10% of projects,2,2
Other,Male,48,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,Mathematics or statistics,60000,USD,Software Developer/Software Engineer,Fine,SQL,Yes,100% of projects,8,8
United States,Male,32,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,90000,USD,Software Developer/Software Engineer,Fine,R,Yes,51-75% of projects,10 - Highly Satisfied,10
Chile,Male,29,Employed full-time,Government,Master's degree,Engineering (non-computer focused),3.60E+07,CLP,Other,Fine,R,Yes,100% of projects,6,6
Australia,Male,24,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,70000,AUD,Statistician,Perfectly,R,Sort of (Explain more),76-99% of projects,7,7
United States,Male,29,Employed full-time,Academic,Doctoral degree,Physics,80000,USD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,9,9
United Kingdom,Male,27,Employed full-time,Other,Master's degree,Physics,25000,GBP,Scientist/Researcher,Fine,Python,Yes,100% of projects,5,5
United States,Male,28,Employed full-time,Government,Master's degree,A social science,120000,USD,Researcher,Poorly,Python,Sort of (Explain more),51-75% of projects,4,4
Canada,Male,22,"Independent contractor, freelancer, or self-employed",Insurance,Bachelor's degree,Mathematics or statistics,60000,CAD,Researcher,Fine,R,Yes,76-99% of projects,8,8
Brazil,Male,33,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),117000,BRL,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,1 - Highly Dissatisfied,1
United States,Female,33,Employed full-time,Military/Security,Bachelor's degree,Fine arts or performing arts,40000,USD,Programmer,Fine,Haskell,Sort of (Explain more),26-50% of projects,1 - Highly Dissatisfied,1
Spain,Male,32,Employed full-time,Internet-based,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",60000,EUR,Other,Fine,Python,No,51-75% of projects,7,7
United States,Male,42,Employed full-time,Government,Doctoral degree,Mathematics or statistics,125000,USD,Other,Fine,Python,Yes,76-99% of projects,6,6
People 's Republic of China,Male,27,"Independent contractor, freelancer, or self-employed",Insurance,Master's degree,Computer Science,1.00E+05,CNY,Programmer,Poorly,Python,Yes,10-25% of projects,3,3
Russia,Male,28,Employed full-time,Academic,Doctoral degree,Computer Science,2.00E+06,RUB,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7
United States,Male,33,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),73000,USD,Other,Poorly,Python,Sort of (Explain more),10-25% of projects,1 - Highly Dissatisfied,1
United States,Male,61,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Master's degree,A social science,140000,USD,Predictive Modeler,Fine,SAS,Sort of (Explain more),10-25% of projects,8,8
United Kingdom,Male,30,Employed full-time,Other,Master's degree,Mathematics or statistics,38500,GBP,Researcher,Poorly,Python,Sort of (Explain more),100% of projects,7,7
South Korea,Male,26,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Mathematics or statistics,3.00E+07,KRW,Statistician,Perfectly,Python,Yes,26-50% of projects,8,8
Turkey,Male,29,Employed full-time,Technology,Doctoral degree,Computer Science,65000,USD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),26-50% of projects,6,6
United States,Male,28,Employed full-time,Academic,Bachelor's degree,Biology,29000,USD,Scientist/Researcher,Fine,R,No,100% of projects,8,8
United States,Male,35,"Independent contractor, freelancer, or self-employed",Pharmaceutical,Master's degree,Mathematics or statistics,132000,USD,Statistician,Perfectly,Python,Yes,100% of projects,10 - Highly Satisfied,10
United Kingdom,Male,31,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,60000,GBP,Researcher,Poorly,Python,Yes,10-25% of projects,5,5
Italy,Female,26,Employed full-time,Academic,Doctoral degree,Psychology,20000,GBP,Scientist/Researcher,Fine,Python,Yes,26-50% of projects,7,7
United States,Male,38,Employed full-time,Academic,Doctoral degree,Biology,102500,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,9,9
United States,Male,33,Employed full-time,Financial,Master's degree,Mathematics or statistics,83000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,8,8
United States,Male,34,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",110000,USD,Software Developer/Software Engineer,Perfectly,Matlab,No,51-75% of projects,6,6
United States,Male,47,Employed full-time,Government,Master's degree,Mathematics or statistics,175000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,1 - Highly Dissatisfied,1
United States,Male,27,Employed full-time,Government,Master's degree,Computer Science,45000,USD,Data Analyst,Fine,Python,No,Less than 10% of projects,5,5
Canada,Male,32,Employed full-time,Other,Master's degree,Mathematics or statistics,67000,CAD,Business Analyst,Poorly,Python,Yes,100% of projects,5,5
Japan,Male,28,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,Biology,6.00E+06,JPY,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,6,6
Brazil,Male,28,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,85200,BRL,Operations Research Practitioner,Perfectly,Python,Yes,10-25% of projects,5,5
Romania,Male,41,"Independent contractor, freelancer, or self-employed",Telecommunications,Bachelor's degree,Electrical Engineering,60000,USD,Machine Learning Engineer,Fine,Python,No,100% of projects,9,9
United States,Female,27,Employed full-time,Non-profit,Master's degree,Psychology,38000,USD,Business Analyst,Poorly,SQL,Sort of (Explain more),76-99% of projects,7,7
United States,Male,23,Employed full-time,Technology,Bachelor's degree,Computer Science,89000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9,9
Switzerland,Male,23,Employed full-time,Technology,Master's degree,Computer Science,24000,CHF,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
Canada,Male,46,Employed full-time,Other,Doctoral degree,Other,63000,CAD,Scientist/Researcher,Poorly,Python,Sort of (Explain more),100% of projects,8,8
United States,Male,31,Employed full-time,Other,Doctoral degree,Mathematics or statistics,120000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),51-75% of projects,9,9
United States,Male,40,Employed full-time,Financial,Master's degree,Mathematics or statistics,110000,USD,Engineer,Poorly,R,Yes,76-99% of projects,5,5
Belarus,Male,33,Employed full-time,Technology,Master's degree,Physics,20000,BYN,Scientist/Researcher,Fine,Java,Yes,100% of projects,6,6
Ukraine,Male,66,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,10000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,No,10-25% of projects,3,3
United States,Male,32,Employed full-time,CRM/Marketing,Bachelor's degree,A social science,140000,USD,Data Analyst,Poorly,Python,Yes,76-99% of projects,7,7
United States,Male,25,Employed full-time,Manufacturing,Bachelor's degree,A social science,70000,USD,Machine Learning Engineer,Perfectly,Python,Yes,26-50% of projects,8,8
France,Male,50,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,60000,EUR,Data Miner,Fine,R,Sort of (Explain more),Less than 10% of projects,4,4
United States,Male,52,Employed full-time,Academic,Master's degree,Physics,50000,USD,Scientist/Researcher,Perfectly,R,Yes,Less than 10% of projects,9,9
United Kingdom,Male,32,Employed full-time,Academic,Doctoral degree,Biology,30000,GBP,Scientist/Researcher,Perfectly,Matlab,Yes,10-25% of projects,6,6
Russia,Male,24,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,55000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,8,8
Hong Kong,Male,48,Employed full-time,Financial,Master's degree,Computer Science,1500000,HKD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9,9
Other,Male,41,Employed full-time,Academic,Master's degree,Electrical Engineering,15333,USD,Other,Perfectly,Python,Yes,10-25% of projects,8,8
Canada,Male,35,Employed full-time,Other,Master's degree,Mathematics or statistics,65000,CAD,Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,7,7
Other,Male,27,Employed full-time,Technology,Master's degree,I never declared a major,12000,USD,Other,Fine,Python,Sort of (Explain more),26-50% of projects,8,8
Israel,Male,26,Employed full-time,Internet-based,Master's degree,Computer Science,130000,USD,Data Analyst,Poorly,Python,Yes,76-99% of projects,6,6
India,Male,26,Employed full-time,Technology,Master's degree,Computer Science,380000,INR,Data Analyst,Fine,R,Yes,100% of projects,3,3
United States,Male,41,Employed full-time,Technology,Master's degree,Mathematics or statistics,90000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,4,4
Brazil,Male,35,Employed full-time,Manufacturing,Master's degree,Computer Science,1.00E+05,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8,8
United States,Male,37,Employed full-time,Academic,Master's degree,A humanities discipline,63000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,7,7
United States,Male,40,Employed full-time,Financial,Master's degree,Mathematics or statistics,180000,USD,Business Analyst,Poorly,Python,Yes,76-99% of projects,5,5
Brazil,Male,44,Employed part-time,Technology,Bachelor's degree,A humanities discipline,90000,BRL,Business Analyst,Poorly,Python,No,76-99% of projects,6,6
United States,Female,32,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,110000,USD,Software Developer/Software Engineer,Fine,Python,No,100% of projects,8,8
United States,Female,29,Employed full-time,Other,Bachelor's degree,Biology,70000,USD,Data Analyst,Fine,Python,No,51-75% of projects,8,8
Other,Male,38,Employed full-time,Financial,Bachelor's degree,Computer Science,3.10E+08,VND,Data Analyst,Poorly,R,Yes,26-50% of projects,7,7
Ukraine,Female,34,Employed full-time,Telecommunications,Master's degree,Computer Science,480000,UAH,Data Analyst,Poorly,SQL,No,76-99% of projects,3,3
United States,Female,32,Employed full-time,Government,Master's degree,A social science,62000,USD,Data Analyst,Fine,Python,No,26-50% of projects,4,4
Switzerland,Female,28,Employed full-time,Technology,Master's degree,Electrical Engineering,80000,CHF,Engineer,Fine,Python,Yes,100% of projects,3,3
Finland,Male,28,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Engineering (non-computer focused),28000,EUR,Scientist/Researcher,Perfectly,R,Sort of (Explain more),26-50% of projects,5,5
United States,Male,34,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),150000,USD,Statistician,Fine,Python,No,Less than 10% of projects,7,7
United States,Male,41,Employed full-time,Academic,Doctoral degree,Biology,250000,USD,Other,Perfectly,Python,Yes,26-50% of projects,8,8
United States,Male,27,Employed full-time,CRM/Marketing,Master's degree,Computer Science,95000,USD,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,6,6
Italy,Male,48,Employed full-time,Technology,Master's degree,Mathematics or statistics,40000,EUR,Data Analyst,Poorly,Python,Sort of (Explain more),51-75% of projects,4,4
United Kingdom,Male,27,Employed full-time,Academic,Master's degree,Electrical Engineering,15000,GBP,Scientist/Researcher,Fine,Python,No,None,6,6
United States,Male,57,Employed full-time,Manufacturing,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),2.00E+05,USD,Other,Fine,R,No,10-25% of projects,5,5
Canada,Male,27,Employed full-time,Retail,Master's degree,Electrical Engineering,60000,CAD,Data Analyst,Poorly,Python,Yes,76-99% of projects,5,5
United States,Male,28,Employed full-time,Financial,Bachelor's degree,Other,117000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
United States,Female,34,Employed full-time,Other,Doctoral degree,A humanities discipline,86000,USD,Other,Fine,R,Yes,100% of projects,9,9
United States,Female,28,Employed full-time,Insurance,Master's degree,Mathematics or statistics,70000,USD,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,6,6
United States,Male,35,Employed full-time,Telecommunications,Some college/university study without earning a bachelor's degree,Mathematics or statistics,185000,USD,Machine Learning Engineer,Fine,Python,Yes,100% of projects,10 - Highly Satisfied,10
United States,Male,41,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,123000,USD,Software Developer/Software Engineer,Fine,Matlab,No,None,8,8
United Kingdom,Male,37,Employed full-time,Academic,Doctoral degree,Computer Science,40000,USD,Researcher,Fine,Python,No,None,5,5
United Kingdom,Male,44,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,"Information technology, networking, or system administration",50000,GBP,Software Developer/Software Engineer,Poorly,Python,No,26-50% of projects,6,6
Canada,Male,19,Employed part-time,Academic,Bachelor's degree,Biology,0,CAD,Scientist/Researcher,Fine,R,No,76-99% of projects,3,3
Brazil,Male,36,Employed full-time,Internet-based,Bachelor's degree,Electrical Engineering,1.00E+05,BRL,Programmer,Fine,Python,No,None,5,5
United States,Male,23,Employed full-time,Military/Security,Bachelor's degree,Mathematics or statistics,55000,USD,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,7,7
Canada,Male,40,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,Computer Science,122000,CAD,Software Developer/Software Engineer,Perfectly,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10
United States,Male,36,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),125000,USD,Other,Poorly,Python,Yes,10-25% of projects,3,3
United States,Female,20,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,70000,USD,Statistician,Fine,R,Sort of (Explain more),51-75% of projects,9,9
Other,Male,46,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),15000,EUR,Scientist/Researcher,Perfectly,Matlab,Yes,Less than 10% of projects,10 - Highly Satisfied,10
United States,Male,25,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,98000,USD,Business Analyst,Fine,Python,Yes,51-75% of projects,8,8
United States,Male,41,Employed full-time,Mix of fields,Doctoral degree,Computer Science,210000,USD,Scientist/Researcher,Fine,R,Yes,100% of projects,7,7
United States,Male,47,Employed full-time,Military/Security,Doctoral degree,Physics,250000,USD,Researcher,Fine,Python,No,76-99% of projects,6,6
Germany,Male,25,Employed full-time,Internet-based,Bachelor's degree,Management information systems,42000,EUR,Other,Fine,Python,Yes,26-50% of projects,7,7
United States,Female,45,Employed part-time,Pharmaceutical,Doctoral degree,A health science,80000,USD,Statistician,Fine,R,Yes,100% of projects,4,4
Brazil,Female,51,Employed full-time,Other,Doctoral degree,Electrical Engineering,30330,USD,Scientist/Researcher,Fine,Julia,Yes,100% of projects,5,5
United States,Male,27,Employed part-time,Non-profit,Master's degree,Mathematics or statistics,55000,USD,Data Analyst,Fine,R,Sort of (Explain more),100% of projects,6,6
Canada,Male,28,Employed full-time,Academic,Doctoral degree,Biology,26000,CAD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,7,7
United States,Female,27,Employed full-time,Mix of fields,Master's degree,A social science,90000,USD,Scientist/Researcher,Fine,R,No,100% of projects,7,7
Germany,Male,27,Employed part-time,Mix of fields,Master's degree,Other,12000,EUR,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,4,4
Argentina,Male,37,Employed full-time,Mix of fields,Master's degree,Computer Science,5.00E+05,ARS,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
United States,Male,22,Employed full-time,Academic,Bachelor's degree,Computer Science,40000,USD,Data Analyst,Perfectly,Python,Sort of (Explain more),76-99% of projects,6,6
Canada,Male,39,Employed full-time,Mix of fields,Doctoral degree,A social science,210000,CAD,Other,Perfectly,R,Yes,100% of projects,6,6
South Africa,Female,25,Employed full-time,Government,Bachelor's degree,Computer Science,30000,ZAR,Software Developer/Software Engineer,Poorly,Python,No,10-25% of projects,2,2
Brazil,Male,36,Employed full-time,Academic,Doctoral degree,Computer Science,30000,EUR,Scientist/Researcher,Perfectly,Python,Yes,10-25% of projects,8,8
Colombia,Male,48,Employed full-time,Academic,Master's degree,Electrical Engineering,6000,USD,Engineer,Fine,Python,No,51-75% of projects,3,3
United States,Male,47,Employed full-time,Financial,Some college/university study without earning a bachelor's degree,Computer Science,105000,USD,Other,Fine,Python,Sort of (Explain more),None,3,3
United States,Male,38,Employed full-time,Technology,Master's degree,Management information systems,220000,USD,Data Miner,Fine,SQL,Sort of (Explain more),100% of projects,7,7
United States,Male,25,Employed part-time,Non-profit,Some college/university study without earning a bachelor's degree,Mathematics or statistics,0,USD,Data Analyst,Fine,R,No,26-50% of projects,6,6
