advfront,relaxhr,emailhr,emailmin,tvhr,polviews,wrkstat,email
Not applicable,3,0,10,2,Moderate,Working fulltime,10
Agree,6,1,0,3,Liberal,Working parttime,60
Not applicable,4,1,0,4,Moderate,Working fulltime,60
Strongly agree,8,1,0,1,Conservative,Temp not working,60
Agree,12,0,3,5,Moderate,Working parttime,3
Agree,3,1,0,4,Moderate,Working fulltime,60
Dont know,Not applicable,0,0,3,Moderate,Keeping house,0
Agree,2,1,0,1,Slghtly conservative,Working fulltime,60
Not applicable,Not applicable,0,0,1,Slghtly conservative,Retired,0
Strongly disagree,0,2,0,1,Slightly liberal,Working fulltime,120
Agree,1,3,20,1,Extremely liberal,Working fulltime,200
Not applicable,2,35,0,3,Slightly liberal,Working fulltime,2100
Agree,Not applicable,14,0,4,Slightly liberal,Retired,840
Disagree,6,0,0,1,Moderate,Working fulltime,0
Dont know,3,0,0,3,Don't know,Working parttime,0
Not applicable,2,1,0,1,Slghtly conservative,Working parttime,60
Strongly agree,2,0,0,2,Liberal,Working fulltime,0
Not applicable,Not applicable,1,0,12,Slightly liberal,Retired,60
Strongly agree,3,25,0,2,Slightly liberal,Working fulltime,1500
Not applicable,Not applicable,4,0,10,Liberal,Retired,240
Agree,2,10,0,1,Moderate,Working fulltime,600
Strongly agree,1,0,15,9,Moderate,Working parttime,15
Agree,2,0,30,2,Conservative,Working parttime,30
Agree,Not applicable,0,5,0,Slightly liberal,"Unempl, laid off",5
Not applicable,2,20,0,2,Moderate,Working parttime,1200
Not applicable,Not applicable,0,0,10,Slghtly conservative,Retired,0
Agree,0,4,0,1,Liberal,Working fulltime,240
Agree,4,6,0,2,Slghtly conservative,Working fulltime,360
Agree,1,35,0,1,Moderate,Working fulltime,2100
Not applicable,Not applicable,1,0,5,Moderate,Retired,60
Agree,2,0,0,4,Moderate,Working fulltime,0
Not applicable,2,1,0,3,Slghtly conservative,Working fulltime,60
Not applicable,3,4,0,1,Liberal,Working fulltime,240
Agree,Not applicable,7,0,2,Slghtly conservative,Keeping house,420
Agree,Not applicable,0,4,4,No answer,Keeping house,4
Agree,2,2,0,1,Moderate,Working fulltime,120
Agree,1,0,0,0,Conservative,Working parttime,0
Strongly agree,20,20,0,2,Slightly liberal,Working fulltime,1200
Agree,Not applicable,1,0,2,Moderate,"Unempl, laid off",60
Agree,Not applicable,0,30,1,Slightly liberal,Keeping house,30
Strongly agree,5,3,0,1,Moderate,Working fulltime,180
Agree,8,14,0,12,Moderate,Working parttime,840
Not applicable,Not applicable,0,0,3,Slightly liberal,Keeping house,0
Strongly agree,1,1,0,2,Moderate,Working fulltime,60
Strongly agree,5,2,0,0,Liberal,Working fulltime,120
Agree,Not applicable,2,0,0,Conservative,Retired,120
Not applicable,5,8,0,3,No answer,Working fulltime,480
Not applicable,4,25,0,1,Moderate,Working fulltime,1500
Strongly agree,0,5,0,1,Slightly liberal,Working fulltime,300
Not applicable,3,2,0,2,Conservative,Working parttime,120
Agree,Not applicable,1,0,4,Moderate,Keeping house,60
Disagree,2,7,0,3,Moderate,Working fulltime,420
Strongly agree,Not applicable,6,0,3,Moderate,Keeping house,360
Not applicable,Not applicable,4,0,5,Moderate,Keeping house,240
Strongly agree,2,1,0,2,Moderate,Working parttime,60
Strongly agree,Not applicable,0,0,4,Extremely liberal,Retired,0
Agree,4,5,0,0,Slightly liberal,Working fulltime,300
Disagree,4,10,0,2,Conservative,Working fulltime,600
Disagree,2,7,0,1,Moderate,Working parttime,420
Not applicable,Not applicable,1,0,0,Extremely liberal,Retired,60
Agree,3,20,0,1,Liberal,Working fulltime,1200
Not applicable,Not applicable,50,0,3,Slghtly conservative,Keeping house,3000
Agree,2,3,0,1,Slghtly conservative,Working parttime,180
Agree,10,80,0,0,Liberal,Working fulltime,4800
Disagree,3,5,0,2,Conservative,Working fulltime,300
Agree,2,0,30,2,Moderate,Working parttime,30
Not applicable,6,0,20,2,Slightly liberal,Working fulltime,20
Not applicable,6,4,0,4,Moderate,Working fulltime,240
Strongly agree,7,8,0,4,Liberal,Working fulltime,480
Not applicable,6,17,0,5,Moderate,Working parttime,1020
Agree,10,0,10,2,Moderate,Working fulltime,10
Agree,Not applicable,2,0,1,Moderate,School,120
Strongly agree,3,20,0,0,Slghtly conservative,Working fulltime,1200
Not applicable,0,0,45,2,Moderate,Working fulltime,45
Not applicable,5,0,0,3,Extrmly conservative,Working fulltime,0
Strongly agree,Not applicable,3,0,2,Conservative,Other,180
Agree,0,0,30,4,Liberal,Working fulltime,30
Dont know,Not applicable,0,0,6,Extrmly conservative,Keeping house,0
Strongly agree,No answer,1,0,3,Moderate,Working parttime,60
Agree,Not applicable,0,0,8,Extrmly conservative,"Unempl, laid off",0
Agree,5,15,0,1,Slghtly conservative,Working fulltime,900
Not applicable,2,2,0,2,Moderate,Temp not working,120
Not applicable,5,0,0,1,Moderate,Working fulltime,0
Agree,1,10,0,1,Moderate,Working fulltime,600
Agree,4,20,0,3,Slghtly conservative,Working fulltime,1200
Not applicable,Not applicable,14,0,4,Extremely liberal,Retired,840
Not applicable,0,3,0,0,Extrmly conservative,Working fulltime,180
Agree,2,25,0,2,Slghtly conservative,Working fulltime,1500
Agree,4,60,0,8,Slightly liberal,Working fulltime,3600
Not applicable,5,5,0,2,Moderate,Working fulltime,300
Agree,4,3,0,2,Moderate,Working fulltime,180
Agree,0,5,0,1,Conservative,Working fulltime,300
Agree,Not applicable,0,0,2,Slightly liberal,Retired,0
Not applicable,Not applicable,3,0,5,Extrmly conservative,Retired,180
Agree,Not applicable,4,0,0,Conservative,Retired,240
Agree,1,0,30,2,Moderate,Working fulltime,30
Strongly disagree,6,20,0,1,Conservative,Working fulltime,1200
Agree,20,1,0,0,Conservative,Working parttime,60
Strongly disagree,Not applicable,0,0,4,Moderate,Other,0
Not applicable,4,13,0,3,Moderate,Working fulltime,780
Agree,Not applicable,4,0,4,Moderate,Retired,240
Strongly agree,Not applicable,1,0,2,Moderate,Keeping house,60
Not applicable,Not applicable,2,30,4,Slghtly conservative,Keeping house,150
Agree,Not applicable,3,0,2,Extrmly conservative,Keeping house,180
Agree,2,0,30,2,Moderate,Working fulltime,30
Agree,4,2,0,0,Slightly liberal,Working fulltime,120
Disagree,Not applicable,1,0,1,Slghtly conservative,Keeping house,60
Disagree,8,10,0,2,Conservative,Working parttime,600
Strongly agree,Not applicable,7,0,0,Extrmly conservative,Retired,420
Not applicable,Not applicable,2,0,5,Conservative,Retired,120
Agree,2,0,0,3,Moderate,Working fulltime,0
Strongly agree,3,2,0,1,Moderate,Working fulltime,120
Agree,2,8,0,4,Moderate,Working fulltime,480
Not applicable,9,2,0,0,Conservative,Working fulltime,120
Strongly agree,4,5,0,4,Conservative,Working fulltime,300
Agree,4,50,0,3,Moderate,Working fulltime,3000
Not applicable,2,4,0,4,Slghtly conservative,Working fulltime,240
Agree,4,4,0,3,Slightly liberal,Working fulltime,240
Not applicable,7,12,0,5,Conservative,Working fulltime,720
Strongly agree,1,0,20,7,Extrmly conservative,Working fulltime,20
Strongly agree,1,60,0,0,Slightly liberal,Working fulltime,3600
Agree,Not applicable,1,0,5,Moderate,"Unempl, laid off",60
Not applicable,4,30,0,1,Slghtly conservative,Working fulltime,1800
Agree,5,3,0,1,Slghtly conservative,Working fulltime,180
Agree,1,25,0,1,Moderate,Working fulltime,1500
Agree,2,5,0,2,Moderate,Working fulltime,300
Agree,6,50,0,1,Moderate,Working fulltime,3000
Agree,4,15,0,2,Moderate,Working fulltime,900
Not applicable,2,0,0,2,Slghtly conservative,Working parttime,0
Dont know,Not applicable,0,10,1,Don't know,Keeping house,10
Strongly agree,4,0,20,8,Moderate,Working parttime,20
Strongly agree,Not applicable,0,30,0,Extremely liberal,"Unempl, laid off",30
Not applicable,Not applicable,4,0,3,Extrmly conservative,Retired,240
Agree,5,55,0,2,Extremely liberal,Working fulltime,3300
Strongly agree,4,41,0,2,Moderate,Working fulltime,2460
Strongly agree,4,40,0,1,Moderate,Working fulltime,2400
Agree,6,70,0,16,Conservative,Working parttime,4200
Not applicable,Not applicable,0,30,1,Slightly liberal,Keeping house,30
Strongly agree,3,10,0,0,Slightly liberal,Working fulltime,600
Strongly agree,3,0,30,1,Slightly liberal,Temp not working,30
Not applicable,3,21,0,3,Slghtly conservative,Working fulltime,1260
Strongly agree,3,5,0,0,Liberal,Working fulltime,300
Agree,5,0,0,3,Liberal,Working parttime,0
Strongly agree,2,15,0,2,Conservative,Working fulltime,900
Strongly agree,4,10,0,3,Extrmly conservative,Working fulltime,600
Agree,2,30,0,2,Moderate,Working fulltime,1800
Strongly agree,No answer,4,0,2,Conservative,Working fulltime,240
Agree,6,40,0,9,Liberal,Working fulltime,2400
Strongly agree,1,0,20,1,Moderate,Working fulltime,20
Not applicable,3,25,0,3,Moderate,Working fulltime,1500
Not applicable,2,2,0,5,Moderate,Working fulltime,120
Disagree,Not applicable,0,0,20,Slightly liberal,Retired,0
Agree,1,1,0,0,Extrmly conservative,Working fulltime,60
Not applicable,4,10,0,3,Conservative,Working fulltime,600
Agree,0,3,0,1,Conservative,Working fulltime,180
Disagree,2,0,2,0,Conservative,Working fulltime,2
Agree,1,10,0,1,Conservative,Working fulltime,600
Agree,2,10,0,4,Slghtly conservative,Working fulltime,600
Strongly agree,2,5,0,4,Moderate,Working fulltime,300
Not applicable,3,2,0,2,Slghtly conservative,Working fulltime,120
Strongly disagree,Not applicable,32,0,4,Slightly liberal,Keeping house,1920
Agree,2,2,0,1,Slightly liberal,Working fulltime,120
Strongly agree,Not applicable,2,0,3,Slightly liberal,Retired,120
Strongly agree,2,25,0,1,Moderate,Working fulltime,1500
Agree,1,2,0,2,Moderate,Working fulltime,120
Agree,4,3,0,2,Slghtly conservative,Working parttime,180
Strongly agree,Not applicable,0,0,3,Slightly liberal,Retired,0
Not applicable,4,0,30,1,Extrmly conservative,Working parttime,30
Agree,Not applicable,2,0,3,Slghtly conservative,"Unempl, laid off",120
Agree,6,3,0,1,Liberal,Working fulltime,180
Not applicable,4,1,0,2,Conservative,Working fulltime,60
Disagree,4,0,30,1,Moderate,Working parttime,30
Disagree,4,1,0,4,Moderate,Working parttime,60
Disagree,14,30,0,5,Conservative,Working parttime,1800
Agree,Not applicable,0,15,1,Conservative,Keeping house,15
Agree,1,1,0,0,Conservative,Working fulltime,60
Agree,4,3,0,4,Moderate,Working fulltime,180
Disagree,Not applicable,2,0,3,Slghtly conservative,Other,120
Agree,4,6,0,0,Slghtly conservative,Working fulltime,360
Agree,Not applicable,0,0,5,Liberal,"Unempl, laid off",0
Not applicable,Not applicable,0,30,4,Slightly liberal,Keeping house,30
Agree,Not applicable,1,0,12,Moderate,Keeping house,60
Agree,6,1,0,4,Moderate,Working parttime,60
Not applicable,3,10,0,1,Slghtly conservative,Working fulltime,600
Agree,No answer,20,0,1,Slghtly conservative,Temp not working,1200
Strongly agree,4,10,0,1,Slightly liberal,Working fulltime,600
Agree,Not applicable,0,10,10,Moderate,Retired,10
Strongly agree,6,0,10,2,Extremely liberal,Working fulltime,10
Not applicable,3,0,0,3,Moderate,Working parttime,0
Not applicable,2,70,0,3,Slightly liberal,Working fulltime,4200
Agree,Not applicable,1,0,5,Moderate,Retired,60
Agree,4,40,0,3,Slghtly conservative,Working fulltime,2400
Not applicable,1,10,0,3,Slghtly conservative,Working fulltime,600
Agree,2,2,0,1,Conservative,Working fulltime,120
Agree,4,15,0,1,Slghtly conservative,Working fulltime,900
Strongly agree,Not applicable,1,0,5,Conservative,Retired,60
Strongly agree,5,30,0,3,Extremely liberal,Working fulltime,1800
Strongly agree,2,12,0,2,Slightly liberal,Working fulltime,720
Agree,Not applicable,5,0,0,Don't know,"Unempl, laid off",300
Not applicable,2,0,45,2,Moderate,Working fulltime,45
Strongly agree,2,2,0,0,Moderate,Working parttime,120
Not applicable,8,0,0,1,Extrmly conservative,Working parttime,0
Strongly agree,2,15,0,2,Moderate,Working fulltime,900
Agree,Not applicable,0,20,3,Slightly liberal,Retired,20
Strongly agree,4,10,0,2,Slightly liberal,Working fulltime,600
Not applicable,Not applicable,1,0,3,Moderate,Keeping house,60
Agree,2,4,0,1,Slghtly conservative,Working fulltime,240
Agree,20,0,5,1,Liberal,Working parttime,5
Not applicable,Not applicable,0,15,2,Moderate,Retired,15
Strongly agree,1,4,0,3,Slightly liberal,Temp not working,240
Agree,Not applicable,5,0,20,Moderate,Keeping house,300
Agree,10,1,0,4,Moderate,Working fulltime,60
Not applicable,3,15,0,2,Moderate,Working fulltime,900
Strongly agree,4,0,10,1,Moderate,Working fulltime,10
Strongly agree,8,2,0,2,Liberal,Working fulltime,120
Not applicable,Not applicable,0,0,1,Moderate,Keeping house,0
Strongly disagree,15,7,0,2,Conservative,Working parttime,420
Agree,5,1,0,2,Moderate,Working parttime,60
Not applicable,5,0,15,2,Liberal,Working parttime,15
Agree,Not applicable,0,30,2,Slghtly conservative,School,30
Agree,Not applicable,7,0,3,Liberal,School,420
Not applicable,4,40,0,2,Liberal,Working fulltime,2400
Strongly agree,0,0,5,2,Conservative,Working fulltime,5
Strongly agree,Not applicable,4,0,3,Liberal,Retired,240
Not applicable,Not applicable,0,0,3,Liberal,Retired,0
Agree,5,2,0,4,Slightly liberal,Working fulltime,120
Strongly agree,4,1,0,0,Extremely liberal,Working fulltime,60
Not applicable,5,40,0,2,Moderate,Working fulltime,2400
Disagree,Not applicable,0,20,7,Slghtly conservative,Keeping house,20
Agree,3,30,0,2,Moderate,Working fulltime,1800
Not applicable,6,50,0,4,Moderate,Working fulltime,3000
Disagree,Not applicable,0,15,6,Don't know,"Unempl, laid off",15
Agree,Not applicable,1,0,3,Conservative,Retired,60
Agree,1,1,0,5,Moderate,Working fulltime,60
Not applicable,10,1,0,4,Extremely liberal,Working fulltime,60
Strongly agree,4,10,0,3,Moderate,Working fulltime,600
Agree,1,40,0,1,Extrmly conservative,Working fulltime,2400
Agree,Not applicable,3,0,6,Slightly liberal,Retired,180
Agree,5,40,0,6,Conservative,Working fulltime,2400
Strongly agree,Not applicable,1,0,2,Moderate,School,60
Agree,Not applicable,1,0,5,Liberal,Retired,60
Not applicable,Not applicable,1,0,2,Moderate,Retired,60
Strongly agree,2,20,0,4,Conservative,Working fulltime,1200
Strongly agree,Not applicable,1,0,4,Liberal,Retired,60
Agree,Not applicable,0,10,2,Moderate,Retired,10
Not applicable,Not applicable,1,0,6,Conservative,Retired,60
Strongly agree,2,20,0,2,Slghtly conservative,Working fulltime,1200
Agree,4,20,0,2,Moderate,Working parttime,1200
Agree,3,20,0,2,Slightly liberal,Working fulltime,1200
Agree,Not applicable,4,0,10,Moderate,"Unempl, laid off",240
Not applicable,7,1,0,1,Slightly liberal,Working fulltime,60
Disagree,Not applicable,1,0,2,Slghtly conservative,Retired,60
Strongly agree,4,1,0,2,Moderate,Working fulltime,60
Agree,Not applicable,1,0,3,Extremely liberal,Retired,60
Agree,9,0,0,2,Conservative,Working parttime,0
Agree,Not applicable,1,0,1,Conservative,Keeping house,60
Not applicable,Not applicable,7,0,3,Moderate,Retired,420
Dont know,6,2,0,1,Conservative,Working parttime,120
Agree,5,2,0,2,Conservative,Working fulltime,120
Not applicable,Not applicable,0,10,5,Conservative,Retired,10
Agree,4,10,0,1,Slghtly conservative,Working fulltime,600
Not applicable,Not applicable,7,0,5,Conservative,Retired,420
Agree,Not applicable,1,0,2,Moderate,Keeping house,60
Disagree,Dont know,0,20,0,Slghtly conservative,Working fulltime,20
Not applicable,1,0,30,0,Moderate,Working fulltime,30
Strongly agree,2,2,0,1,Slghtly conservative,Temp not working,120
Not applicable,Not applicable,0,30,3,Liberal,"Unempl, laid off",30
Disagree,Not applicable,1,0,1,No answer,School,60
Strongly agree,Not applicable,0,0,4,Moderate,Keeping house,0
Strongly agree,8,28,0,1,Liberal,Working fulltime,1680
Strongly agree,6,0,5,3,Slghtly conservative,Working fulltime,5
Agree,Not applicable,0,30,6,Moderate,Keeping house,30
Agree,2,11,0,2,Slghtly conservative,Working fulltime,660
Agree,4,2,0,1,Moderate,Working fulltime,120
Strongly agree,6,1,0,2,Liberal,Working fulltime,60
Agree,2,10,0,1,Slightly liberal,Working fulltime,600
Agree,3,1,0,1,Slghtly conservative,Working fulltime,60
Strongly agree,0,0,5,2,Slghtly conservative,Working fulltime,5
Agree,3,35,0,1,Conservative,Working fulltime,2100
Agree,3,1,0,2,Slghtly conservative,Working fulltime,60
Not applicable,0,1,0,3,Moderate,Working fulltime,60
Agree,4,2,0,0,Moderate,Working fulltime,120
Strongly agree,2,0,30,1,Moderate,Working fulltime,30
Agree,Not applicable,7,0,1,Slightly liberal,"Unempl, laid off",420
Not applicable,2,7,0,1,Slghtly conservative,Working fulltime,420
Agree,Not applicable,5,0,2,Extremely liberal,"Unempl, laid off",300
Agree,3,8,0,1,Moderate,Working fulltime,480
Agree,Not applicable,3,0,1,Liberal,Retired,180
Not applicable,4,2,0,0,Slightly liberal,Working fulltime,120
Disagree,2,20,0,3,Moderate,Working fulltime,1200
Not applicable,Not applicable,1,0,5,Slghtly conservative,"Unempl, laid off",60
Strongly agree,8,0,1,1,Slghtly conservative,Working fulltime,1
Agree,Not applicable,1,0,4,Liberal,Retired,60
Agree,4,5,0,1,Slghtly conservative,Working parttime,300
Strongly agree,5,1,0,1,Conservative,Working parttime,60
Not applicable,3,0,0,1,Conservative,Working fulltime,0
Agree,Not applicable,1,0,6,Moderate,School,60
Strongly agree,5,0,30,5,Moderate,Working fulltime,30
Not applicable,0,2,0,2,Extremely liberal,Working fulltime,120
Agree,2,10,0,1,Liberal,Working fulltime,600
Strongly agree,Not applicable,0,30,4,Moderate,Retired,30
Strongly agree,4,20,0,2,Extremely liberal,Working fulltime,1200
Not applicable,3,30,0,2,Moderate,Working fulltime,1800
Agree,7,3,30,2,Slghtly conservative,Working fulltime,210
Agree,Dont know,7,0,4,Moderate,Working fulltime,420
Agree,Not applicable,3,0,0,Liberal,Keeping house,180
Disagree,Not applicable,14,0,6,Conservative,Retired,840
Strongly agree,7,4,0,5,Moderate,Working fulltime,240
Agree,1,50,0,1,Slightly liberal,Working fulltime,3000
Not applicable,Not applicable,14,0,3,Liberal,Keeping house,840
Disagree,1,24,0,1,Don't know,Working fulltime,1440
Strongly agree,4,1,0,4,Extremely liberal,Working parttime,60
Not applicable,2,35,0,2,Extrmly conservative,Working fulltime,2100
Strongly agree,2,10,0,2,Moderate,Working fulltime,600
Not applicable,3,6,0,4,Slghtly conservative,Working fulltime,360
Agree,Not applicable,0,50,2,Moderate,Retired,50
Not applicable,8,5,0,2,Slightly liberal,Working fulltime,300
Strongly agree,3,25,0,2,Moderate,Working fulltime,1500
Agree,Not applicable,0,0,5,Don't know,Keeping house,0
Not applicable,Not applicable,0,30,8,Moderate,Retired,30
Strongly disagree,Not applicable,0,2,4,Conservative,"Unempl, laid off",2
Strongly agree,Not applicable,2,0,1,Liberal,"Unempl, laid off",120
Not applicable,3,15,0,1,Moderate,Working fulltime,900
Agree,Not applicable,1,0,2,Liberal,Retired,60
Not applicable,Not applicable,0,0,3,Moderate,Retired,0
Strongly agree,Not applicable,7,0,5,Conservative,Retired,420
Strongly agree,2,35,0,2,Extremely liberal,Working parttime,2100
Strongly agree,0,60,0,4,Moderate,Working fulltime,3600
Agree,2,70,0,2,Moderate,Working fulltime,4200
Agree,6,12,0,4,Slghtly conservative,Working parttime,720
Strongly agree,15,5,0,8,Moderate,Working parttime,300
Agree,Not applicable,0,30,5,Slightly liberal,Keeping house,30
Agree,5,3,0,2,Moderate,Temp not working,180
Agree,No answer,2,0,0,Conservative,Working fulltime,120
Disagree,4,0,30,1,Moderate,Working fulltime,30
Strongly agree,Not applicable,2,0,2,Moderate,Retired,120
Agree,Not applicable,3,0,4,Slghtly conservative,Keeping house,180
Strongly agree,4,2,0,4,Conservative,Working fulltime,120
Not applicable,3,7,0,2,Extrmly conservative,Working fulltime,420
Not applicable,Not applicable,10,0,2,Slightly liberal,Retired,600
Not applicable,Not applicable,10,0,2,Slghtly conservative,Retired,600
Strongly agree,0,7,0,0,Moderate,Working fulltime,420
Not applicable,2,1,0,2,Moderate,Working fulltime,60
Agree,Not applicable,0,5,3,Conservative,School,5
Agree,3,7,0,2,Slightly liberal,Working fulltime,420
Agree,2,6,0,4,Slightly liberal,Working parttime,360
Agree,5,10,0,1,Moderate,Working fulltime,600
Not applicable,0,0,0,0,Extremely liberal,Working fulltime,0
Strongly agree,No answer,1,0,0,Slightly liberal,Working fulltime,60
Agree,3,20,0,2,Moderate,Working fulltime,1200
Strongly agree,Not applicable,0,30,5,Liberal,"Unempl, laid off",30
Agree,2,0,0,3,Moderate,Working fulltime,0
Not applicable,1,20,0,3,Don't know,Working fulltime,1200
Strongly agree,Not applicable,0,30,1,Moderate,School,30
Not applicable,Not applicable,2,0,1,Slghtly conservative,School,120
Strongly agree,Not applicable,1,30,2,Liberal,Retired,90
Agree,5,0,20,3,Slightly liberal,Working fulltime,20
Agree,Not applicable,2,0,1,Slghtly conservative,School,120
Strongly agree,Not applicable,0,30,2,Moderate,Keeping house,30
Agree,Not applicable,0,20,4,Liberal,Retired,20
Agree,4,1,0,4,Moderate,Working fulltime,60
Not applicable,4,6,0,3,Slghtly conservative,Working fulltime,360
Disagree,4,8,0,3,Extrmly conservative,Working fulltime,480
Dont know,1,1,0,2,Slghtly conservative,Working fulltime,60
Agree,1,2,0,1,Moderate,Working fulltime,120
Agree,2,0,45,4,Moderate,Working fulltime,45
Agree,0,1,0,2,Moderate,Working fulltime,60
Strongly agree,5,2,30,2,Moderate,Working fulltime,150
Not applicable,4,40,0,1,Conservative,Working fulltime,2400
Disagree,Dont know,0,0,1,Conservative,Working fulltime,0
Agree,1,10,0,1,Moderate,Working fulltime,600
Disagree,3,10,0,1,Conservative,Working fulltime,600
Not applicable,Not applicable,7,0,3,Moderate,Retired,420
Not applicable,5,0,5,2,Moderate,Working fulltime,5
No answer,4,0,0,4,Liberal,Working fulltime,0
Strongly agree,2,1,0,2,Moderate,Working fulltime,60
Not applicable,Not applicable,1,0,4,Extremely liberal,Retired,60
Agree,Not applicable,1,0,6,Slightly liberal,Retired,60
Strongly disagree,Not applicable,0,5,1,Slightly liberal,Keeping house,5
Agree,2,3,0,1,Moderate,Working fulltime,180
Agree,Not applicable,0,0,0,Moderate,"Unempl, laid off",0
Agree,4,50,0,2,Moderate,Working fulltime,3000
Disagree,6,0,15,8,Moderate,Working parttime,15
Agree,4,3,0,3,Moderate,Working fulltime,180
Not applicable,6,10,0,4,Liberal,Working fulltime,600
Agree,8,30,0,2,Moderate,Working fulltime,1800
Strongly agree,1,20,0,2,Moderate,Working fulltime,1200
Strongly agree,Not applicable,0,15,5,Liberal,Retired,15
Agree,Not applicable,1,0,1,Liberal,Keeping house,60
Strongly agree,5,20,0,2,Conservative,Working fulltime,1200
Not applicable,5,5,0,0,Moderate,Working parttime,300
Agree,Not applicable,1,0,3,Extrmly conservative,Retired,60
Agree,Not applicable,2,0,2,Moderate,Retired,120
Not applicable,Not applicable,0,15,3,Slghtly conservative,Retired,15
Strongly agree,4,1,0,3,Conservative,Working fulltime,60
Agree,2,0,15,2,Conservative,Working fulltime,15
Strongly agree,5,30,0,2,Liberal,Working fulltime,1800
Not applicable,Not applicable,0,5,3,Extrmly conservative,Retired,5
Agree,2,6,0,3,Slightly liberal,Working fulltime,360
Agree,0,0,0,0,Extrmly conservative,Working fulltime,0
Agree,5,1,0,0,Moderate,Working parttime,60
Strongly agree,Not applicable,3,0,0,Extremely liberal,Keeping house,180
Not applicable,2,10,0,1,Extremely liberal,Working fulltime,600
Agree,4,2,0,1,Moderate,Working fulltime,120
Strongly agree,Not applicable,3,0,6,Liberal,School,180
Not applicable,Not applicable,8,0,5,Slghtly conservative,Retired,480
Strongly agree,Not applicable,1,0,3,Moderate,Retired,60
Not applicable,8,28,0,1,Moderate,Working fulltime,1680
Agree,Not applicable,0,0,5,Conservative,Keeping house,0
Agree,4,0,0,3,Conservative,Working fulltime,0
Agree,Not applicable,7,0,7,Moderate,Keeping house,420
Strongly agree,1,6,0,0,Slightly liberal,Working fulltime,360
Agree,7,40,0,1,Extrmly conservative,Working fulltime,2400
Not applicable,2,12,0,1,Conservative,Working fulltime,720
Agree,Not applicable,0,0,1,Moderate,Other,0
Agree,4,2,0,2,Moderate,Working fulltime,120
Agree,1,10,0,1,Slghtly conservative,Working fulltime,600
Not applicable,4,5,0,3,Conservative,Working parttime,300
Strongly agree,1,0,0,1,Moderate,Working fulltime,0
Agree,0,1,0,2,Slightly liberal,Working fulltime,60
Disagree,4,0,30,3,Moderate,Working fulltime,30
Not applicable,2,3,0,4,Moderate,Working fulltime,180
Agree,5,0,15,2,Moderate,Working fulltime,15
Not applicable,6,14,0,1,Slghtly conservative,Working fulltime,840
Strongly agree,Not applicable,0,15,5,No answer,Keeping house,15
Agree,5,10,0,3,Moderate,Working fulltime,600
Disagree,Not applicable,3,0,2,Moderate,Keeping house,180
Agree,Not applicable,0,15,2,Conservative,Retired,15
Agree,1,1,0,1,Slightly liberal,Working fulltime,60
Not applicable,2,12,0,2,Slghtly conservative,Working fulltime,720
Agree,1,10,0,2,Liberal,Working fulltime,600
Not applicable,Not applicable,4,0,4,Conservative,Retired,240
Strongly agree,Not applicable,6,0,8,Moderate,"Unempl, laid off",360
Agree,4,3,10,2,Moderate,Temp not working,190
Dont know,Not applicable,8,0,2,Extremely liberal,Keeping house,480
Not applicable,2,0,0,6,Moderate,Working fulltime,0
Agree,3,40,0,Don't know,Moderate,Working fulltime,2400
Strongly agree,Not applicable,1,0,2,Slghtly conservative,Retired,60
Agree,Not applicable,4,0,10,Moderate,Retired,240
Strongly agree,0,1,0,1,Extremely liberal,Working fulltime,60
Agree,8,0,0,1,Extremely liberal,Working fulltime,0
Disagree,1,5,0,0,Moderate,Working fulltime,300
Not applicable,5,3,0,1,Moderate,Working parttime,180
Agree,2,1,0,1,Slightly liberal,Working fulltime,60
Strongly agree,1,5,0,1,Slghtly conservative,Working fulltime,300
Not applicable,Not applicable,2,0,10,Moderate,Other,120
Agree,2,5,0,2,Slghtly conservative,Working parttime,300
Strongly agree,Not applicable,0,0,6,Slightly liberal,Retired,0
Strongly agree,12,3,0,2,Moderate,Working fulltime,180
Strongly agree,0,2,0,12,Moderate,Working parttime,120
Agree,Not applicable,2,0,5,Slghtly conservative,Retired,120
Not applicable,Not applicable,1,0,2,Moderate,Keeping house,60
Strongly agree,4,0,0,2,Moderate,Working parttime,0
Agree,0,0,0,4,Slghtly conservative,Temp not working,0
Disagree,3,10,0,3,Don't know,Working fulltime,600
Agree,4,0,0,2,Moderate,Working fulltime,0
Strongly agree,Not applicable,3,0,1,Liberal,Retired,180
Agree,Not applicable,7,0,4,Moderate,Keeping house,420
Not applicable,Not applicable,1,0,3,Moderate,Keeping house,60
Agree,3,1,30,1,Moderate,Working fulltime,90
Agree,5,4,0,8,Slightly liberal,Working parttime,240
Agree,2,7,0,5,Don't know,Working fulltime,420
Not applicable,Not applicable,0,20,4,Moderate,Retired,20
Disagree,3,0,0,3,Slightly liberal,Working fulltime,0
Agree,8,3,0,2,Moderate,Working fulltime,180
Not applicable,0,20,0,2,Moderate,Working fulltime,1200
Agree,2,15,0,4,Moderate,Working fulltime,900
Strongly disagree,3,20,0,3,Slghtly conservative,Working fulltime,1200
Not applicable,2,0,0,10,Extremely liberal,Working fulltime,0
Dont know,1,8,0,2,Conservative,Working fulltime,480
Agree,Not applicable,7,0,1,Extremely liberal,Retired,420
Not applicable,Not applicable,0,0,2,Conservative,Keeping house,0
Agree,3,2,0,3,Moderate,Working fulltime,120
Agree,3,4,0,0,Conservative,Working fulltime,240
Not applicable,16,2,0,3,Conservative,Working fulltime,120
